Date ,Open,High,Low,Last,Close,Volume,Value
16-Jul-2021,125.4,125.4,123.65,124.25,124.15,13479996,"1,674,657,183.45"
15-Jul-2021,124.85,126.5,124.15,124.45,124.45,22522585,"2,818,000,220.25"
14-Jul-2021,125,126,124.1,124.5,124.55,23276074,"2,906,352,579.75"
13-Jul-2021,124.2,125.25,122.95,124.1,124.05,19316578,"2,398,003,474.80"
12-Jul-2021,126,126.3,123.45,123.6,123.8,26731429,"3,328,793,672.35"
09-Jul-2021,123,124.8,121.7,124.5,124.45,24078290,"2,981,098,045.10"
08-Jul-2021,124.1,126.85,122.4,123.1,123.4,33870196,"4,217,924,569.90"
07-Jul-2021,123,124.5,122.15,124.1,123.85,19773453,"2,438,802,234.85"
06-Jul-2021,126,126.5,122.05,123.25,123,31062811,"3,878,251,494.40"
05-Jul-2021,121.95,126.9,121.75,125.85,125.9,61606669,"7,721,408,985.30"
02-Jul-2021,122,122.6,120.6,121.2,120.95,22789936,"2,770,147,808.40"
01-Jul-2021,122.8,122.8,121,121.6,121.35,18570986,"2,258,156,218.95"
30-Jun-2021,123.4,123.9,121.7,122.1,122.1,30099781,"3,697,087,215.00"
29-Jun-2021,122.95,124.75,121.75,123.05,122.8,30981874,"3,818,210,166.35"
28-Jun-2021,122,123.5,120.8,122.8,122.55,27616278,"3,378,756,202.60"
25-Jun-2021,119.9,122.6,119.55,121.2,121.1,25945027,"3,148,117,932.95"
24-Jun-2021,120.75,121.45,118.2,119.6,118.85,28009357,"3,349,958,519.75"
23-Jun-2021,122.5,123.2,120.55,120.8,120.75,29338636,"3,578,368,014.50"
22-Jun-2021,124.2,125.1,120.9,121.5,121.45,44246677,"5,448,677,995.25"
21-Jun-2021,118.2,124,117.95,123.2,123.3,44593802,"5,416,685,618.25"
18-Jun-2021,124.35,124.7,116.95,121.95,121.45,73972898,"8,935,185,540.95"
17-Jun-2021,123.95,126.9,122.3,123.35,123.95,73801920,"9,200,207,445.00"
16-Jun-2021,122,127.9,120.15,125.7,125.95,84445896,"10,480,942,855.40"
15-Jun-2021,125,125.6,121.7,122,122.15,45450324,"5,600,277,845.90"
14-Jun-2021,126.25,126.25,116.6,123.5,123.4,86326236,"10,498,272,989.25"
11-Jun-2021,128.75,128.75,124.25,125.6,125.7,62530141,"7,894,974,066.85"
10-Jun-2021,128,130.4,125.1,127.55,127.6,140351463,"17,912,088,245.25"
09-Jun-2021,120.75,132.7,119,125,124.65,360661838,"45,385,749,898.50"
08-Jun-2021,114.4,119.2,114,117.45,117.05,93023993,"10,896,332,680.65"
07-Jun-2021,109,115,108.3,113.75,113.35,95358858,"10,788,862,795.00"
04-Jun-2021,109.1,109.1,107,108,108.15,19048139,"2,056,931,892.10"
03-Jun-2021,110,110.5,107.9,108.5,108.65,38360946,"4,181,510,475.50"
02-Jun-2021,104.5,108.4,104.35,107.9,108.1,31238619,"3,344,204,137.75"
01-Jun-2021,106.4,106.4,103.7,104.9,104.65,25038000,"2,623,618,021.10"
31-May-2021,105.3,106.95,103.8,106.5,106.45,29739476,"3,150,001,108.85"
28-May-2021,107.2,107.5,105.1,105.6,105.35,19973552,"2,114,827,567.05"
27-May-2021,106.1,107,104.9,106.7,106.35,21200089,"2,246,937,407.40"
26-May-2021,108,108.3,105.8,106,106.1,26772472,"2,862,027,519.95"
25-May-2021,108.3,109.35,106.65,107.7,107.45,35294915,"3,814,576,761.35"
24-May-2021,105.6,107.95,104.5,107.2,107.3,41530007,"4,429,020,023.95"
21-May-2021,103.85,106,103.3,105,104.9,27004076,"2,835,890,539.35"
20-May-2021,105.2,105.45,102.45,103.05,102.95,19494462,"2,018,341,654.15"
19-May-2021,105.05,107,103.9,104.3,104.25,31394002,"3,309,998,044.05"
18-May-2021,105,107.35,104.65,105.45,105.35,40666745,"4,303,058,902.70"
17-May-2021,102.5,104.3,101.65,103.8,103.45,40412520,"4,156,042,982.40"
14-May-2021,106.35,108,101,101.8,101.5,66640242,"6,850,875,820.40"
12-May-2021,110.35,110.55,105.15,107.6,106.6,61946163,"6,649,842,943.80"
11-May-2021,109,111.15,107.1,109.1,109.35,64737614,"7,089,579,180.60"
10-May-2021,103.75,110.5,103.2,110.4,109.95,70028129,"7,506,732,523.40"
07-May-2021,103.85,103.95,102.25,102.55,102.7,28791094,"2,961,004,639.40"
06-May-2021,102.55,104.65,101.6,102.85,102.9,35150275,"3,618,541,682.35"
05-May-2021,102.4,102.95,100.25,101.9,102,25421812,"2,582,883,925.70"
04-May-2021,100.6,103.4,100,101.55,101.05,55562146,"5,658,757,658.70"
03-May-2021,97.95,100.4,96.35,100,99.85,37404501,"3,688,711,393.00"
30-Apr-2021,96.95,101.4,96.25,98.8,98.85,40125740,"3,994,077,192.50"
29-Apr-2021,98.9,100.2,97.45,97.8,97.65,39809692,"3,923,296,166.35"
28-Apr-2021,98.6,99.15,97.65,97.7,97.95,32345591,"3,180,707,773.75"
27-Apr-2021,96.95,98.45,96.4,98.1,98,26892254,"2,624,083,329.65"
26-Apr-2021,95.7,97.15,95.5,96.4,96.3,24546834,"2,361,849,211.40"
23-Apr-2021,94.2,96.9,93.55,95.55,95.65,40943046,"3,916,324,220.85"
22-Apr-2021,94,95,92.4,94.4,94.25,34186730,"3,216,110,549.35"
20-Apr-2021,96,96,92.4,93.45,93.6,35631799,"3,363,413,309.65"
19-Apr-2021,92.4,94.95,91.8,93.7,93.8,43657515,"4,090,065,647.00"
16-Apr-2021,95,97.95,94.05,96.75,97.15,49515934,"4,776,712,157.25"
15-Apr-2021,94.7,96.7,93.3,94.1,94.15,38846301,"3,669,250,586.00"
13-Apr-2021,92.3,96.3,91.55,95.75,95.85,76861733,"7,260,203,644.45"
12-Apr-2021,101,101,89.9,92.7,92.2,125893617,"11,876,776,655.75"
09-Apr-2021,105.35,106.2,103,104.1,104.1,35350727,"3,695,101,147.90"
08-Apr-2021,105,106.75,104.7,105.2,104.95,36910799,"3,896,748,522.65"
07-Apr-2021,104.35,105.65,103.5,104.4,104.45,36218955,"3,796,011,459.40"
06-Apr-2021,103.8,107.35,102.45,104.8,104.7,56713336,"5,961,188,281.30"
05-Apr-2021,105,105.5,100.45,103.5,103.35,48340372,"4,972,757,524.35"
01-Apr-2021,103.9,105.5,103.55,105,105.05,34637782,"3,622,291,117.90"
31-Mar-2021,103.65,105.85,102.85,103,103.25,35702981,"3,724,236,673.00"
30-Mar-2021,105.35,105.35,102.8,103.65,103.6,47453372,"4,934,778,701.55"
26-Mar-2021,100.95,104.35,100,103.75,103.45,78988471,"8,087,313,766.55"
25-Mar-2021,101.8,102.2,96.6,98.95,98.65,78179436,"7,739,518,805.80"
24-Mar-2021,103,105.6,100.85,101.4,101.25,49603176,"5,131,094,204.05"
23-Mar-2021,104.95,105.95,104,104.5,104.55,41887531,"4,399,256,751.10"
22-Mar-2021,104.9,106.5,103.8,104.7,104.75,74913152,"7,882,728,562.30"
19-Mar-2021,100,104.75,96.3,104.2,104.15,118996777,"12,005,902,619.80"
18-Mar-2021,104.6,106.6,96,100.85,100.55,102669579,"10,480,062,152.90"
17-Mar-2021,109.2,110.5,102.4,102.85,103.3,64241698,"6,838,147,042.90"
16-Mar-2021,112,112.3,109.1,109.55,109.7,50275101,"5,551,268,031.00"
15-Mar-2021,114,114.15,108,111.35,111.55,101456890,"11,231,459,954.40"
12-Mar-2021,108.4,114.5,107,113,113.25,162828658,"18,295,301,621.00"
10-Mar-2021,109.1,109.25,105.8,107.5,107.35,43852673,"4,700,041,557.60"
09-Mar-2021,110,110.65,104.7,107.35,107,51804429,"5,569,123,013.20"
08-Mar-2021,108.9,111.85,108.2,108.95,109.05,57273663,"6,288,856,176.40"
05-Mar-2021,110.7,110.7,104,107.6,107.35,75015270,"8,063,375,885.50"
04-Mar-2021,103.8,114,102.75,109.25,109.3,147425687,"16,142,551,269.00"
03-Mar-2021,104.6,105.5,102.5,105.25,105.25,85272517,"8,879,541,286.15"
02-Mar-2021,100,100.8,98,100.55,100.35,67108317,"6,677,483,792.65"
01-Mar-2021,96.6,99.5,95.55,98.2,97.9,62133610,"6,062,827,896.70"
26-Feb-2021,94.8,96.4,93,94.5,95.15,50696555,"4,802,609,797.25"
25-Feb-2021,94.9,97.65,94.35,96.1,96,70938332,"6,814,737,626.40"
24-Feb-2021,92.85,94.5,92.05,94.2,94.05,27561130,"2,578,639,779.75"
23-Feb-2021,90.7,93.4,89.8,91.75,92.05,43925417,"4,023,626,984.95"
22-Feb-2021,90.95,92.5,89,89.5,90.1,38203233,"3,465,341,876.00"
19-Feb-2021,93.4,94.85,89.35,91.3,91.1,69544392,"6,432,232,816.40"
18-Feb-2021,91.75,94.05,90.2,93.3,93.1,48616071,"4,477,527,271.05"
17-Feb-2021,90.9,92.45,89.8,91,91.1,66947755,"6,094,256,702.80"
16-Feb-2021,87.4,91,86.6,90.85,90.25,45833754,"4,069,644,760.25"
15-Feb-2021,88,88.9,86.35,86.6,86.7,28371641,"2,480,795,422.15"
12-Feb-2021,88,88.5,86,87.3,87.3,18854969,"1,646,221,808.30"
11-Feb-2021,88.7,89.15,87.5,87.75,87.8,18482937,"1,628,058,487.65"
10-Feb-2021,88.05,89.95,86.35,88.35,88.1,57056934,"5,020,688,234.65"
09-Feb-2021,90.15,90.45,86.45,87.5,87.15,37086127,"3,268,753,992.05"
08-Feb-2021,88,91.65,87.5,90,90,70145365,"6,317,921,330.45"
05-Feb-2021,91.45,91.65,85,87.45,87.45,98504307,"8,652,383,220.25"
04-Feb-2021,84.95,90.5,84.45,90,89.6,94513383,"8,356,051,305.40"
03-Feb-2021,84.15,85.5,82.25,84.45,84.2,41816643,"3,519,694,798.70"
02-Feb-2021,81.5,84.1,79.65,83.7,83.6,47955673,"3,930,003,639.95"
01-Feb-2021,76.4,81.2,74.5,81,79.9,45909331,"3,535,925,528.25"
29-Jan-2021,78.55,78.6,75,75.5,75.4,28386915,"2,176,103,890.75"
28-Jan-2021,75,77.9,74.45,77.4,77.1,40097316,"3,061,221,920.60"
27-Jan-2021,79.65,79.8,75.65,76,75.95,47062543,"3,635,463,411.70"
